state,year,population
Baden-Württemberg,2025,11252601.355687322
Baden-Württemberg,2026,11270163.760653868
Baden-Württemberg,2027,11285720.960345335
Baden-Württemberg,2028,11299497.2220348
Baden-Württemberg,2029,11311692.753768645
Baden-Württemberg,2030,11322486.05952281
Baden-Württemberg,2031,11332036.114989936
Baden-Württemberg,2032,11340484.365203533
Baden-Württemberg,2033,11347956.549014263
Baden-Württemberg,2034,11354564.358046256
Baden-Württemberg,2035,11360406.939447897
Baden-Württemberg,2036,11365572.252732303
Baden-Württemberg,2037,11370138.29145462
Baden-Württemberg,2038,11374174.180536903
Baden-Württemberg,2039,11377741.159837415
Bayern,2025,13208461.560976036
Bayern,2026,13214101.689882971
Bayern,2027,13218334.813110063
Bayern,2028,13221511.334160062
Bayern,2029,13223894.650770653
Bayern,2030,13225682.644968698
Bayern,2031,13227023.915036356
Bayern,2032,13228030.0139419
Bayern,2033,13228784.6644252
Bayern,2034,13229350.690687042
Bayern,2035,13229775.228589313
Bayern,2036,13230093.6397106
Bayern,2037,13230332.45046979
Bayern,2038,13230511.558466876
Bayern,2039,13230645.888349593
Berlin,2025,3669960.2152511715
Berlin,2026,3670200.8198977304
Berlin,2027,3670337.3569226856
Berlin,2028,3670414.8347720383
Berlin,2029,3670458.7984202486
Berlin,2030,3670483.7445786283
Berlin,2031,3670497.8995859874
Berlin,2032,3670505.9314162578
Berlin,2033,3670510.4888232006
Berlin,2034,3670513.07477516
Berlin,2035,3670514.54208804
Berlin,2036,3670515.374665789
Berlin,2037,3670515.8470841316
Berlin,2038,3670516.115142048
Berlin,2039,3670516.267242492
Brandenburg,2025,2564802.4330166797
Brandenburg,2026,2570607.4632452973
Brandenburg,2027,2576084.121277879
Brandenburg,2028,2581249.6512407237
Brandenburg,2029,2586120.5446230974
Brandenburg,2030,2590712.5549675953
Brandenburg,2031,2595040.714739449
Brandenburg,2032,2599119.3539711013
Brandenburg,2033,2602962.1203212817
Brandenburg,2034,2606582.000227836
Brandenburg,2035,2609991.3408707627
Brandenburg,2036,2613201.872696194
Brandenburg,2037,2616224.7322835196
Brandenburg,2038,2619070.4853665875
Brandenburg,2039,2621749.1498459624
Bremen,2025,703131.3046232889
Bremen,2026,706390.2205506281
Bremen,2027,709664.2406983664
Bremen,2028,712953.4350668658
Bremen,2029,716257.8739808694
Bremen,2030,719577.6280910043
Bremen,2031,722912.7683752921
Bremen,2032,726263.3661406647
Bremen,2033,729629.4930244887
Bremen,2034,733011.2209960959
Bremen,2035,736408.6223583224
Bremen,2036,739821.7697490519
Bremen,2037,743250.7361427695
Bremen,2038,746695.5948521204
Bremen,2039,750156.4195294766
Hamburg,2025,1852709.222248134
Hamburg,2026,1852831.2752147971
Hamburg,2027,1852901.851701365
Hamburg,2028,1852942.660394254
Hamburg,2029,1852966.2561733823
Hamburg,2030,1852979.8991643859
Hamburg,2031,1852987.787423751
Hamburg,2032,1852992.3483247152
Hamburg,2033,1852994.9853777953
Hamburg,2034,1852996.5100847788
Hamburg,2035,1852997.3916480667
Hamburg,2036,1852997.901354793
Hamburg,2037,1852998.1960595157
Hamburg,2038,1852998.3664532995
Hamburg,2039,1852998.464972381
Hessen,2025,6277728.098919852
Hessen,2026,6277792.9859255925
Hessen,2027,6277826.181744163
Hessen,2028,6277843.164404236
Hessen,2029,6277851.852535143
Hessen,2030,6277856.297272748
Hessen,2031,6277858.571141824
Hessen,2032,6277859.734422616
Hessen,2033,6277860.329541239
Hessen,2034,6277860.633995787
Hessen,2035,6277860.78975056
Hessen,2036,6277860.869432561
Hessen,2037,6277860.91019678
Hessen,2038,6277860.931051193
Hessen,2039,6277860.941720025
Mecklenburg-Vorpommern,2025,1550437.7082346384
Mecklenburg-Vorpommern,2026,1525498.7398672532
Mecklenburg-Vorpommern,2027,1491897.5312477692
Mecklenburg-Vorpommern,2028,1447261.8765036024
Mecklenburg-Vorpommern,2029,1389070.4596410496
Mecklenburg-Vorpommern,2030,1315034.824726151
Mecklenburg-Vorpommern,2031,1223710.4044773488
Mecklenburg-Vorpommern,2032,1115263.1038680852
Mecklenburg-Vorpommern,2033,992148.7664304576
Mecklenburg-Vorpommern,2034,859323.7563920096
Mecklenburg-Vorpommern,2035,723669.0669213206
Mecklenburg-Vorpommern,2036,592666.4235840064
Mecklenburg-Vorpommern,2037,472819.4382787005
Mecklenburg-Vorpommern,2038,368484.8757993226
Mecklenburg-Vorpommern,2039,281506.23196743726
Niedersachsen,2025,8009382.36282805
Niedersachsen,2026,8010024.33197423
Niedersachsen,2027,8010463.91360749
Niedersachsen,2028,8010764.899701091
Niedersachsen,2029,8010970.981986522
Niedersachsen,2030,8011112.081730228
Niedersachsen,2031,8011208.688119996
Niedersachsen,2032,8011274.830743453
Niedersachsen,2033,8011320.115725346
Niedersachsen,2034,8011351.120249856
Niedersachsen,2035,8011372.347544497
Niedersachsen,2036,8011386.880814025
Niedersachsen,2037,8011396.831004543
Niedersachsen,2038,8011403.643387383
Niedersachsen,2039,8011408.30747188
Nordrhein-Westfalen,2025,18029203.85657043
Nordrhein-Westfalen,2026,18045221.740988076
Nordrhein-Westfalen,2027,18061253.832053963
Nordrhein-Westfalen,2028,18077300.14232512
Nordrhein-Westfalen,2029,18093360.68436959
Nordrhein-Westfalen,2030,18109435.470766462
Nordrhein-Westfalen,2031,18125524.514105845
Nordrhein-Westfalen,2032,18141627.826988928
Nordrhein-Westfalen,2033,18157745.42202793
Nordrhein-Westfalen,2034,18173877.31184616
Nordrhein-Westfalen,2035,18190023.509077992
Nordrhein-Westfalen,2036,18206184.026368912
Nordrhein-Westfalen,2037,18222358.876375478
Nordrhein-Westfalen,2038,18238548.071765374
Nordrhein-Westfalen,2039,18254751.625217397
Rheinland-Pfalz,2025,4134730.829242651
Rheinland-Pfalz,2026,4140764.441515864
Rheinland-Pfalz,2027,4146502.4398707747
Rheinland-Pfalz,2028,4151958.5262687975
Rheinland-Pfalz,2029,4157145.8447470996
Rheinland-Pfalz,2030,4162076.9963420224
Rheinland-Pfalz,2031,4166764.0544716665
Rheinland-Pfalz,2032,4171218.5806533783
Rheinland-Pfalz,2033,4175451.6404453046
Rheinland-Pfalz,2034,4179473.819513599
Rheinland-Pfalz,2035,4183295.2397383302
Rheinland-Pfalz,2036,4186925.575281695
Rheinland-Pfalz,2037,4190374.0685517597
Rheinland-Pfalz,2038,4193649.5460038106
Rheinland-Pfalz,2039,4196760.433729402
Saarland,2025,1008000.2069610688
Saarland,2026,1010048.6674632896
Saarland,2027,1012101.2902850398
Saarland,2028,1014158.0838815367
Saarland,2029,1016219.0567251645
Saarland,2030,1018284.2173055073
Saarland,2031,1020353.5741293863
Saarland,2032,1022427.1357208932
Saarland,2033,1024504.9106214256
Saarland,2034,1026586.9073897223
Saarland,2035,1028673.1346018984
Saarland,2036,1030763.6008514805
Saarland,2037,1032858.3147494419
Saarland,2038,1034957.2849242379
Saarland,2039,1037060.5200218421
Sachsen,2025,4036285.401324716
Sachsen,2026,4031183.6779209096
Sachsen,2027,4026088.3925215504
Sachsen,2028,4020999.5370286065
Sachsen,2029,4015917.103354166
Sachsen,2030,4010841.083420421
Sachsen,2031,4005771.4691596655
Sachsen,2032,4000708.252514269
Sachsen,2033,3995651.425436674
Sachsen,2034,3990600.9798893807
Sachsen,2035,3985556.907844934
Sachsen,2036,3980519.2012859103
Sachsen,2037,3975487.8522049077
Sachsen,2038,3970462.852604532
Sachsen,2039,3965444.1944973846
Sachsen-Anhalt,2025,2118758.821996806
Sachsen-Anhalt,2026,2106317.433116731
Sachsen-Anhalt,2027,2093949.0978799392
Sachsen-Anhalt,2028,2081653.3873565309
Sachsen-Anhalt,2029,2069429.8751347084
Sachsen-Anhalt,2030,2057278.1373060003
Sachsen-Anhalt,2031,2045197.7524505681
Sachsen-Anhalt,2032,2033188.301622601
Sachsen-Anhalt,2033,2021249.3683357935
Sachsen-Anhalt,2034,2009380.538548913
Sachsen-Anhalt,2035,1997581.4006514456
Sachsen-Anhalt,2036,1985851.5454493326
Sachsen-Anhalt,2037,1974190.5661507857
Sachsen-Anhalt,2038,1962598.0583521887
Sachsen-Anhalt,2039,1951073.6200240802
Schleswig-Holstein,2025,2969900.0079747303
Schleswig-Holstein,2026,2980657.1669590943
Schleswig-Holstein,2027,2991453.2855483824
Schleswig-Holstein,2028,3002288.50481879
Schleswig-Holstein,2029,3013162.966357178
Schleswig-Holstein,2030,3024076.81226292
Schleswig-Holstein,2031,3035030.185149759
Schleswig-Holstein,2032,3046023.2281476627
Schleswig-Holstein,2033,3057056.084904696
Schleswig-Holstein,2034,3068128.899588891
Schleswig-Holstein,2035,3079241.8168901317
Schleswig-Holstein,2036,3090394.9820220377
Schleswig-Holstein,2037,3101588.5407238607
Schleswig-Holstein,2038,3112822.6392623847
Schleswig-Holstein,2039,3124097.4244338353
Thüringen,2025,2091697.903026899
Thüringen,2026,2084477.5031108304
Thüringen,2027,2077282.0230750209
Thüringen,2028,2070111.3769437822
Thüringen,2029,2062965.479037837
Thüringen,2030,2055844.2439732994
Thüringen,2031,2048747.5866606599
Thüringen,2032,2041675.4223037679
Thüringen,2033,2034627.6663988247
Thüringen,2034,2027604.234733376
Thüringen,2035,2020605.0433853092
Thüringen,2036,2013630.008721853
Thüringen,2037,2006679.047398582
Thüringen,2038,1999752.0763584238
Thüringen,2039,1992849.0128306684
